doc_id,participant,content,Turn,lemmas,PoS,LexicalAlignmentTokens,LexicalAlignmentLemmas,SyntacticAlignment2,SyntacticAlignment3,SyntacticAlignment4,SemanticAlignment
4,B,oh um okee het is laat maar zeggen dat hoofdplatform ,1,oh um okee het zijn laat maar zeggen dat hoofdplatform,ADJ ADJ NUM PRON AUX ADJ ADV VERB SCONJ NOUN,NA,NA,NA,NA,NA,NA
4,A,ja,2,ja,INTJ,0,0,0,0,0,0.6647304867083036
4,B,um met daaromheen uit- een uitsteek- steeksel aan de linkerkant,3,um met daaromheen uit- een uitsteek- steeksel aan de linkerkant,ADJ ADP ADV X DET X NOUN ADP DET NOUN,0,0,NA,NA,NA,0.32771970605869166
4,A,ja,4,ja,INTJ,0,0,0,0,0,0.32771970605869166
4,B,het is een rond uitsteeksel,5,het zijn een rond uitsteeksel,PRON AUX DET ADP NOUN,0,0,NA,NA,NA,0.27767216410892925
4,A,staan er twee streepjes op dat dingetje?,6,staan er twee streep op dat dingen ?,VERB ADV NUM NOUN ADP DET NOUN PUNCT,0,0,NA,NA,NA,0.7401437424331545
4,B,nee één,7,nee één,INTJ NUM,0,0,NA,0,0,0.4993374635739938
4,A,oh (#m#),8,oh ( #m# ),NOUN PUNCT NOUN PUNCT,0,0,NA,0,0,0.32494604582585546
4,B,en dan boven steekt dus laat maar zeggen zo'n ja op de kop zo'n kegel uit (en) daarachter een cirkel zit daaraan vastgebonden,9,en dan boven steekt dus laten maar zeggen zo'n ja op de kop zo'n kegel uit ( en ) daarachter een cirkel zitten daaraan vastgebonden,CCONJ ADV ADP VERB ADV VERB CCONJ VERB PRON INTJ ADP DET NOUN DET NOUN ADP PUNCT CCONJ PUNCT ADV DET NOUN VERB ADV NOUN,0,0,NA,NA,NA,0.39556047935195543
4,A,even kijken hoe was het platformpje met twee pootjes?,10,even kijken hoe zijn het platform met twee poo ?,ADV VERB ADV AUX DET NOUN ADP NUM NOUN PUNCT,0,0,0.4374999999999999,0.08247860988423225,NA,0.764193094700799
4,B,nee dus het staat op ja nee het staat dus op een ja uh ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,11,nee dus het staan op ja nee het staan dus op een ja uh ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn een ja,INTJ ADV PRON VERB ADP INTJ INTJ PRON VERB ADV ADP DET INTJ ADV INTJ PRON ADP INTJ VERB ADV PRON ADP NOUN PRON AUX DET INTJ,0.12216944435630522,0.20361574059384205,0.16366341767699427,NA,NA,0.5973684546243601
4,A,ook niet ja,12,ook niet ja,ADV ADV INTJ,0.3526728079292991,0.3526728079292991,0.10910894511799617,NA,0,0.9222110461053201
4,B,het is niet een cirkel maar langwerpig soort,13,het zijn niet een cirkelen maar langwerpig soort,PRON AUX ADV DET NOUN ADV ADJ NOUN,0.20412414523193148,0.20412414523193148,NA,NA,NA,0.6280837191905255
4,A,je hebt zeg maar de hoofdbak bij elk plaatje,14,je hebben zeggen maar de hoofdbak bij elk plaatje,PRON VERB VERB ADV DET NOUN ADP DET NOUN,0.1178511301977579,0.1178511301977579,0.35856858280031806,0.1543033499620919,NA,0.7616232175908665
4,B,ja en die staat op een ja die staat op een op op zo'n vorm,15,ja en die staan op een ja die staan op een op op zo'n vorm,INTJ CCONJ PRON VERB ADP DET NOUN PRON VERB ADP DET ADP ADP DET NOUN,0,0,0.558156305651438,0.17342199390482396,NA,0.7959044864606223
4,A,ja okee,16,ja okee,INTJ NOUN,0.23904572186687872,0.23904572186687872,NA,0,0,0.5769013453266975
4,B,en dan aan de zijkant aan de linkerkant,17,en dan aan de zijkant aan de linkerkant,CCONJ ADV ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.30902143834403784
4,A,ja,18,ja,INTJ,0,0,0,0,0,0.3149020150260557
4,B,um heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit #laughs# ,19,um hebben je een cirkel dat laten maar zeggen uitsteekken dus ja dit #laughs #,ADJ AUX PRON DET NOUN PRON VERB CCONJ VERB VERB ADV INTJ DET NOUN PUNCT,0.2672612419124244,0.2672612419124244,NA,NA,NA,0.616248861260895
4,A,ja ja #laughs#,20,ja ja #laughs #,INTJ INTJ NOUN PUNCT,0.35856858280031806,0.35856858280031806,NA,NA,0,0.616248861260895
4,B,en daar bovenop een op een kegel op de kop,21,en daar bovenop een op een kegel op de kop,CCONJ ADV ADV DET ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.3407768086808109
4,A,ja,22,ja,INTJ,0,0,0,0,0,0.3407768086808109
4,B,en daarachter nog een uh cirkelplateau dat wel,23,en daarachter nog een uh cirkelplateau dat wel,CCONJ ADV ADV DET ADJ NOUN PRON ADV,0,0,NA,NA,NA,0.603836745753672
4,A,ja okee dan weet ik welke het is,24,ja okee dan weten ik welk het zijn,INTJ NUM ADV VERB PRON PRON PRON VERB,0,0,NA,NA,NA,0.8346032037045156
4,B,okee,25,okee,NOUN,0.35355339059327373,0.35355339059327373,0,0,0,0.5555150064033834
4,A,dat is nummer *5*,26,dat zijn nummer *5 *,PRON AUX NOUN SYM PUNCT,0,0,NA,NA,NA,0.31219861398761634
4,B,ja ik heb alleen maar a b c d,27,ja ik hebben alleen maar a b c d,INTJ PRON AUX ADV ADV X NOUN SYM VERB,0,0,0.40824829046386296,NA,NA,0.46059714165676957
4,A,ja volgens mij moet ik hem gewoon noemen en dan drukken #laughs#,28,ja volgens mij moeten ik hem gewoon noemen en dan drukken #laughs #,INTJ ADP PRON AUX PRON PRON ADJ VERB CCONJ ADV VERB NOUN PUNCT,0.19245008972987526,0.19245008972987526,0.10660035817780521,NA,NA,0.6553076138062066
4,B,oh zo #laughs#,29,oh zo #laughs #,ADJ ADV NOUN PUNCT,0.16666666666666669,0.16666666666666669,NA,NA,0,0.6586923753655304
4,A,ja dat is nummer *5*,30,ja dat zijn nummer *5 *,INTJ PRON AUX NOUN SYM PUNCT,0,0,NA,NA,NA,0.7658132892083931
4,B,#uh#,31,#uh#,NOUN,0,0,0,0,0,NaN
4,A,okee nou zie ik inderdaad een vierkant um ik heb dus uh die hoofdbak weer gewoon die je op elk plaatje ziet dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,32,okee nou zien ik inderdaad een vierkant um ik hebben dus uh die hoofdbak weer gewoon die je op elk plaat zien dan hebben ik een soort rond neus op de voorkant en daar ja dat noem ik maar even een piercing zitten een staaf doorheen,ADV ADV VERB PRON ADV DET ADJ NOUN PRON AUX ADV ADV PRON ADV ADV ADJ PRON PRON ADP DET NOUN VERB ADV AUX PRON DET NOUN ADJ NOUN ADP DET NOUN CCONJ ADV INTJ PRON VERB PRON ADV ADV DET NOUN VERB DET NOUN ADP,0,0,NA,NA,NA,NaN
4,B,ja,33,ja,INTJ,0.11470786693528087,0.11322770341445956,0,0,0,0.5953131506428387
4,A,en aan de rechterkant van die staaf zit een cirkeltje,34,en aan de rechterkant van die staaf zitten een cirkel,CCONJ ADP DET NOUN ADP DET NOUN VERB DET NOUN,0,0,NA,NA,NA,0.2689668790540359
4,B,je hebt een cirkelplateau aan de voorkant?,35,je hebben een cirkelplateau aan de voorkant ?,PRON VERB DET NOUN ADP DET NOUN PUNCT,0.35856858280031806,0.35856858280031806,0.8574929257125441,0.7071067811865475,0.3779644730092272,0.8780375530792932
4,A,uh nee ik heb geen plateau ik heb dus gewoon de de bak,36,uh nee ik hebben geen plateau ik hebben dus gewoon de de bak,ADV INTJ PRON VERB DET NOUN PRON AUX ADV ADJ DET DET NOUN,0.17342199390482396,0.3468439878096479,0.5669467095138409,0.26967994498529685,0.15811388300841897,0.7799846375634307
4,B,ja,37,ja,INTJ,0,0,0,0,0,0.6535086755224246
4,A,um met een ronde neus een rond een soort ei eigenlijk,38,um met een rond neus een rond een soort eus eigenlijk,ADJ ADP DET ADJ NOUN DET ADP DET NOUN VERB ADJ,0,0,NA,NA,NA,0.2689682001485245
4,B,ja,39,ja,INTJ,0,0,0,0,0,0.2689682001485245
4,A,aan de voorkant van die bak,40,aan de voorkant van die bak,ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.1881267428977593
4,B,ja,41,ja,INTJ,0,0,0,0,0,0.1881267428977593
4,A,en door dat ei zit een uh staaf gewoon een ja een uh een staaf erdoorheen,42,en door dat eus zitten een uh staaf gewoon een ja een uh een staaf erdoorheen,CCONJ ADP DET NOUN VERB DET NOUN VERB ADJ DET INTJ DET NOUN DET NOUN ADV,0.17677669529663687,0.17677669529663687,NA,NA,NA,0.6586269702639329
4,B,oh ja,43,oh ja,ADJ INTJ,0.12499999999999997,0.12499999999999997,NA,0,0,0.6624785982028171
4,A,en dan aan de rechterkant van die staaf zit een cirkeltje opgeplakt ,44,en dan aan de rechterkant van die staaf zitten een cirkel opgeplken,CCONJ ADV ADP DET NOUN ADP DET NOUN VERB DET NOUN VERB,0,0,NA,NA,NA,0.265299333783663
4,B,oh ja ik heb het *f* um ik heb dus ja je hebt dus telkens dat hoofdplateau (platform) um aan de zijkant het um wacht laat ik zo beginnen het zit door een vierkant plateau heen dat vierkant is um ja dun en dat zit er laat maar zeggen doorheen n- en dat vierkant zit niet op in het midden van het hoofdplateau uh -form maar een beetje aan de onderkant want daarboven steekt aan de linkerkant een rechthoek met een puntje daar bovenop uit,45,oh ja ik hebben het *f* um ik hebben dus ja je hebben dus telkens dat hoofdplateau ( platform ) um aan de zijkant het um wachten laten ik zo beginnen het zitten door een vierkant plateau heen dat vierkant zijn um ja dun en dat zitten er laten maar zeggen doorheen n- en dat vierkant zitten niet op in het midden van het hoofdplateau uh -form maar een beetje aan de onderkant want daarboven steekt aan de linkerkant een rechthoek met een punt daar bovenop uit,ADJ INTJ PRON AUX DET NOUN NOUN PRON AUX ADV INTJ PRON VERB ADV ADV DET NOUN PUNCT NOUN PUNCT NOUN ADP DET NOUN DET NOUN VERB VERB PRON ADV VERB PRON VERB ADP DET ADJ NOUN ADP PRON ADJ AUX ADJ INTJ ADJ CCONJ PRON VERB ADV VERB CCONJ VERB ADP X CCONJ PRON ADJ VERB ADV ADP ADP DET NOUN ADP DET NOUN ADV NOUN CCONJ DET NOUN ADP DET NOUN CCONJ ADP NOUN ADP DET NOUN DET NOUN ADP DET NOUN ADV ADV ADP,0.3359684204526464,0.3324686539693531,0.7064547692625657,0.48168766908288246,0.28097574347450816,0.8412995059118216
4,A,hm hm,46,hm hmen,ADV VERB,0,0,0.11359236684941296,0,0,0.33349727269992285
4,B,en aan de voorkant steekt ook weer zo'n cirkelvorm uit en daar bovenop op het hoofdplateau twee kleine staafjes,47,en aan de voorkant steken ook weer zo'n cirkelvorm uit en daar bovenop op het hoofdplateau twee klein staaf,CCONJ ADP DET NOUN VERB ADV ADV DET NOUN ADP CCONJ ADV ADV ADP DET NOUN NUM ADJ NOUN,0,0,NA,NA,NA,0.11514808332489221
4,A,ja twee okee dan weet ik het dat is nummer *7*,48,ja twee okee dan weten ik het dat zijn nummer *7 *,INTJ NUM NOUN ADV VERB PRON PRON PRON AUX NOUN SYM PUNCT,0.1315903389919538,0.1315903389919538,NA,NA,NA,0.7266003030090153
4,B,okee,49,okee,NOUN,0.30151134457776363,0.30151134457776363,0,0,0,0.547135547813121
4,A,um nou we hebben weer de hoofdbak daarop ligt dat ei,50,um nou we hebben weer de hoofdbak daarop liggen dat ei,ADJ ADV PRON VERB ADV DET NOUN ADV VERB SCONJ PRON,0,0,NA,NA,NA,0.34184707494074734
4,B,hm hm,51,hm hmen,ADV VERB,0,0,0.31622776601683794,0,0,0.3235199330988376
4,A,um en voor die hoofdbak uh staat een um ook weer een staaf vierkante staaf eigenlijk een rechthoek,52,um en voor die hoofdbak uh staan een um ook weer een staaf vierkant staaf eigenlijk een rechthoek,NOUN CCONJ ADP DET NOUN ADV VERB DET NOUN ADV ADV DET NOUN ADJ NOUN ADJ DET NOUN,0,0,0.17407765595569785,NA,NA,0.32246258872156724
4,B,ja,53,ja,INTJ,0,0,0,0,0,0.4589943247555944
4,A,gewoon uh op de smalle kant en door de hoofdbak zit een soort um ja een soort boordje een rond rond staafje en die maakt een hoek,54,gewoon uh op de smal kant en door de hoofdbak zitten een soort um ja een soort boord een rond rond staaf en die maken een hoek,ADJ ADV ADP DET ADJ NOUN CCONJ ADP DET NOUN VERB DET NOUN NOUN INTJ DET NOUN NOUN DET NOUN ADP NOUN CCONJ PRON VERB DET NOUN,0.14586499149789456,0.14586499149789456,NA,NA,NA,0.5341408434766591
4,B,ja ik heb hem,55,ja ik hebben hem,INTJ PRON AUX PRON,0.07293249574894728,0.07293249574894728,NA,NA,NA,0.7022646968224147
4,A,okee,56,okee,NOUN,0,0,0,0,0,0.47539910194964374
4,B,*b* um okee hoofd- uh de hoofdvorm staat op een vierkant plateau,57,*b* um okee hoofd- uh de hoofdvorm staan op een vierkant plateau,NOUN ADJ X X ADV DET NOUN VERB ADP DET ADJ NOUN,0.2886751345948129,0.2886751345948129,NA,NA,NA,0.41683318294018484
4,A,hm hm,58,hm hmen,ADV VERB,0,0,NA,0,0,0.4146535645338835
4,B,met aan de bovenkant steken er soort van ja #click click# vierkanten laat maar zeggen aan twee kanten uit dus aan de ene kant en dan (aa-) aan de voorkant zit een cirkel um,59,met aan de bovenkant steken er soort van ja #click click # vierkant laten maar zeggen aan twee kant uit dus aan de een kant en dan ( aa- ) aan de voorkant zitten een cirkel um,ADP ADP DET NOUN VERB ADV NOUN ADP INTJ X X PUNCT NOUN VERB CCONJ VERB ADP NUM NOUN ADP ADV ADP DET PRON NOUN CCONJ ADV PUNCT X PUNCT ADP DET NOUN VERB DET NOUN NOUN,0,0,NA,NA,NA,0.19484348646224675
4,A,ja ja okee dat is nummer *1* um weer de hoofdbak um ja en dan heb je een soort kwastjes dat zijn dus eigenlijk twee kwastjes eentje staat op de hoofdbak en eentje steekt linksvoor uit en dan zie je ook nog heel klein stukje van linksachter en aan de rechterkant van die hoofdbak zit een uh een figuurtje dat eigenlijk vierkantjes zijn en dan (sto-) steeds kleiner worden en het kleinste vierkantje zit aan de hoofdbak vast,60,ja ja okee dat zijn numm *1* um weer de hoofdbak um ja en dan hebben je een soort kwas dat zijn dus eigenlijk twee kwas één staan op de hoofdbak en één steekt linksvoor uit en dan zie je ook nog heel klein stuk van linksachter en aan de rechterkant van die hoofdbak zitten een uh een figuur dat eigenlijk vierkant zijn en dan ( sto- ) steeds klein worden en het klein vierkant zitten aan de hoofdbak vast,INTJ INTJ NOUN PRON AUX NOUN NOUN NOUN ADV DET NOUN ADJ INTJ CCONJ ADV AUX PRON DET NOUN NOUN PRON AUX ADV ADJ NUM NOUN NUM VERB ADP DET NOUN CCONJ NUM VERB ADP ADP CCONJ ADV VERB PRON ADV ADV ADJ ADJ NOUN ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN VERB DET NOUN DET NOUN PRON ADJ NOUN AUX CCONJ ADV PUNCT X PUNCT ADV ADJ AUX CCONJ DET ADJ NOUN VERB ADP DET NOUN ADJ,0.47308177522257755,0.48991362604351285,0.6000322519956156,0.23814483610392012,0.0793519600858154,0.9502766702984753
4,B,okee zit er iets aan de bovenkant?,61,okee zitten er iets aan de bovenkant ?,ADV VERB ADV PRON ADP DET NOUN PUNCT,0.25788071477756375,0.24942329796316196,0.380058475033046,0.18257418583505536,NA,0.9037137413277189
4,A,ja een soort kwastje,62,ja een soort kwastje,INTJ DET NOUN NOUN,0,0,0.23570226039551587,NA,NA,0.6488351672201512
4,B,oh ja en aan de linkerkant en achterkant ook,63,oh ja en aan de linkerkant en achterkant ook,ADJ INTJ CCONJ ADP DET NOUN CCONJ NOUN ADV,0.15075567228888181,0.15075567228888181,0.20412414523193148,NA,NA,0.7743387067234954
4,A,ja ja,64,ja ja,INTJ INTJ,0.30151134457776363,0.30151134457776363,NA,0,0,0.7486047565491374
4,B,okee dan heb ik hem dat is *j* uh dan heb je weer die hoofdvorm en aan de voorkant heb je dus een bol of zoals jij zei een ei,65,okee dan hebben ik hem dat zijn *j* uh dan hebben je weer die hoofdvorm en aan de voorkant hebben je dus een bol of zoals jij zeggen een ei,ADV ADV AUX PRON PRON PRON AUX NOUN ADV ADV AUX PRON ADV DET NOUN CCONJ ADP DET NOUN AUX PRON ADV DET NOUN CCONJ SCONJ PRON VERB DET NOUN,0,0,NA,NA,NA,0.5486166569781523
4,A,ja,66,ja,INTJ,0,0,0,0,0,0.5486166569781523
4,B,dat uitsteekt dan heb je dus een schuine kegel op de kop die soort van op het hoofd- op de hoofdvorm staat,67,dat uitsteekt dan hebben je dus een schuin kegel op de kop die soort van op het hoofd- op de hoofdvorm staan,PRON VERB ADV AUX PRON ADV DET ADJ NOUN ADP DET NOUN PRON NOUN ADP ADP DET X ADP DET NOUN VERB,0,0,NA,NA,NA,0.3595414948802481
4,A,ja hm hm,68,ja hm hm,INTJ NOUN VERB,0,0,0.1270001270001905,NA,0,0.23100098370859573
4,B,daarboven staat een rechthoek voor die kegel en dan aan de zijkant links,69,daarboven staan een rechthoek voor die kegel en dan aan de zijkant links,ADP NOUN DET NOUN ADP DET NOUN CCONJ ADV ADP DET NOUN ADJ,0,0,NA,NA,NA,0.16575538121092948
4,A,ja ja dat is nummer *9* um nou we hebben weer de hoofdvorm en dan heb je een staafje die steekt direct uit uh aan de voorkant van de hoofdvorm dan heb je ook een soort vinnetje wat aan onderkant van die hoofdvorm zit um en aan de achterkant van de hoofdvorm heb je #clicks# een ruit en die heeft twee uitsteeksels,70,ja ja dat zijn nummer *9* um nou we hebben weer de hoofdvorm en dan hebben je een staaf die steken direct uit uh aan de voorkant van de hoofdvorm dan hebben je ook een soort vinnetje wat aan onderkant van die hoofdvorm zitten um en aan de achterkant van de hoofdvorm hebben je #clicks # een ruit en die hebben twee uitsteeksel,INTJ INTJ PRON AUX NOUN NOUN ADJ ADV PRON VERB ADV DET NOUN CCONJ ADV AUX PRON DET NOUN PRON VERB ADJ ADP ADV ADP DET NOUN ADP DET NOUN ADV AUX PRON ADV DET NOUN NOUN PRON ADP NOUN ADP DET NOUN VERB ADJ CCONJ ADP DET NOUN ADP DET NOUN VERB PRON NOUN PUNCT DET NOUN CCONJ PRON VERB NUM NOUN,0.4422193609099414,0.4219098121001112,0.781166431994577,0.5661385170722979,0.26270531876428055,0.8935653531126491
4,B,ja ik heb hem,71,ja ik hebben hem,INTJ PRON AUX PRON,0.2097953395741723,0.2802242691589025,0.17165643016914983,0.07216878364870323,NA,0.7712625086170953
4,A,ja,72,ja,INTJ,0.5,0.5,0,0,0,0.78770812869487
4,B,dat is *p* uh dan heb je weer de hoofdvorm en de hoofdvorm die staat eigenlijk op een schuine staaf met daaronder een soort van ja pyramidevorm lijkt wel een beetje op een taartvorm,73,dat zijn *p* uh dan hebben je weer de hoofdvorm en de hoofdvorm die staan eigenlijk op een schuin staaf met daaronder een soort van ja pyramidevorm lijken wel een beetje op een taartvorm,PRON AUX NOUN ADV ADV AUX PRON ADV DET NOUN CCONJ DET NOUN PRON VERB ADJ ADP DET ADJ NOUN ADP ADV DET NOUN ADP INTJ NOUN VERB ADV DET NOUN ADP DET NOUN,0.1386750490563073,0.1386750490563073,NA,NA,NA,0.523204284459758
4,A,hm hm,74,hm hmen,ADV VERB,0,0,NA,0,0,0.2288137693298988
4,B,schuine staaf daarop staat de hoofdvorm en daar bovenop staat een klein uh vier- uh vierkant of rechthoek en aan de zijkant ook een rechthoek en aan de zijkant ook een rechthoek en aan uh dat is de rechterkant en aan de linkerkant een pyramidevorm weer met zo schuin,75,schuin staaf daarop staan de hoofdvorm en daar bovenop staan een klein uh vier- uh vierkant of rechthoek en aan de zijkant ook een rechthoek en aan de zijkant ook een rechthoek en aan uh dat zijn de rechterkant en aan de linkerkant een pyramidevorm weer met zo schuin,ADJ NOUN ADV VERB DET NOUN CCONJ ADV ADV VERB DET ADJ ADV X ADV ADJ CCONJ ADJ CCONJ ADP DET NOUN ADV DET NOUN CCONJ ADP DET NOUN ADV DET NOUN CCONJ ADP ADV PRON AUX DET NOUN CCONJ ADP DET NOUN DET NOUN ADV ADP ADV ADJ,0,0,0.159111456835146,NA,NA,0.24898355960481683
4,A,#clicks# ja,76,#clicks # ja,NOUN PUNCT INTJ,0,0,NA,0,0,0.5129569064374511
4,B,met zo schuin,77,met zo schuin,ADP ADV ADJ,0,0,NA,NA,0,0.45230840750444523
4,A,dat is nummer *2* um nou we hebben we hebben weer de hoofdbak uh aan beide kanten steken twee staven uit die aan de uiteindes bekleed zijn met een rond bolletje en aan de achterkant van de hoofdvorm heb je een vierkant plateautje met een uitsteeksel naar beneden ,78,dat zijn nummer *2* um nou we hebben we hebben weer de hoofdbak uh aan beide kant steken twee staven uit die aan de uiteinde beklijden zijn met een rond bol en aan de achterkant van de hoofdvorm hebben je een vierkant plateau met een uitsteeksel naar beneden,PRON AUX NOUN NOUN ADJ ADV PRON VERB PRON AUX ADV DET NOUN ADV ADP DET NOUN VERB NUM NOUN ADP PRON ADP DET NOUN ADJ AUX ADP DET ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN AUX PRON DET ADJ NOUN ADP DET NOUN ADP ADP,0.13074409009212268,0.12598815766974242,NA,NA,NA,0.7829654994020209
4,B,ja dat is *d* um nou de hoofdvorm en dan eigenlijk aan de zijkant links staat een soort van yoghurtbakje daaraan vastgeplakt op de kop um daar bovenop ligt een rechthoek en aan de rechterkant is een ja een rond staafje zo omhoog op een uitsteeksel maar ik weet niet wat dat uitsteeksel is,79,ja dat zijn *d* um nou de hoofdvorm en dan eigenlijk aan de zijkant links staan een soort van yoghurtbak daaraan vastgeplken op de kop um daar bovenop liggen een rechthoek en aan de rechterkant zijn een ja een rond staaf zo omhoog op een uitsteeksel maar ik weten niet wat dat uitsteeksel zijn,INTJ PRON AUX NOUN ADJ ADV DET NOUN CCONJ ADV ADJ ADP DET NOUN ADJ VERB DET NOUN ADP NOUN ADV VERB ADP DET NOUN ADJ ADV ADV VERB DET NOUN CCONJ ADP DET NOUN AUX DET INTJ DET ADP NOUN ADV ADV ADP DET NOUN CCONJ PRON VERB ADV PRON PRON ADJ AUX,0.5718776312789586,0.5828678671740339,0.7562807208739311,0.44659886861763254,0.11773762624173345,0.9553174245394586
4,A,even kijken hoor,80,even kijken hoor,ADV VERB INTJ,0,0,0.12356041264304309,NA,0,0.573588652260953
4,B,(je kunt je),81,( je kunnen je ),PUNCT PRON AUX PRON PUNCT,0,0,NA,NA,0,0.4325297914680935
4,A,kun je dat nog een keer herhalen?,82,kunnen je dat nog een keer herhalen ?,AUX PRON PRON ADV DET NOUN VERB PUNCT,0.33806170189140655,0.5070925528371099,0.2886751345948129,NA,NA,0.7688281518855751
4,B,ja natuurlijk een hoofd- je hebt de hoofdvorm,83,ja natuurlijk een hoofd- je hebben de hoofdvorm,INTJ ADJ DET X PRON VERB DET NOUN,0.26726124191242434,0.26726124191242434,0.1543033499620919,NA,NA,0.7830503377776656
4,A,ja,84,ja,INTJ,0.35355339059327373,0.35355339059327373,0,0,0,0.6873729623868632
4,B,aan de linkerkant is een soort van beker yoghurtbakje op z'n kop dus een ja wat is het,85,aan de linkerkant zijn een soort van beker yoghurtbak op zijn kop dus een ja wat zijn het,ADP DET NOUN AUX DET NOUN ADP ADJ NOUN ADP PRON NOUN ADV DET INTJ PRON AUX PRON,0.21320071635561041,0.19611613513818404,NA,NA,NA,0.4890603146577875
4,A,oh ja ja ja ja,86,oh ja ja ja ja,ADJ INTJ INTJ INTJ INTJ,0.20683507599800766,0.19026059766179765,NA,NA,NA,0.4855228874033859
4,B,en (dan) bovenop een rechthoek,87,en ( dan ) bovenop een rechthoek,CCONJ PUNCT ADV PUNCT ADV DET NOUN,0,0,NA,NA,NA,0.35113108285160655
4,A,ja,88,ja,INTJ,0,0,0,0,0,0.3530044801367996
4,B,dat erop ligt op de hoofdvorm,89,dat erop liggen op de hoofdvorm,PRON ADV VERB ADP DET NOUN,0,0,NA,NA,NA,0.36223409910568777
4,A,ja,90,ja,INTJ,0,0,0,0,0,0.36223409910568777
4,B,en aan de rechterkant heb je een soort van klein staafje ,91,en aan de rechterkant hebben je een soort van klein staaf,CCONJ ADP DET NOUN AUX PRON DET NOUN ADP ADJ NOUN,0,0,NA,NA,NA,0.3635439291400267
4,A,ja ja dat is nummer *6*,92,ja ja dat zijn nummer *6 *,INTJ INTJ PRON AUX NOUN SYM PUNCT,0,0,NA,NA,NA,0.5615170985456234
4,B,okee,93,okee,NOUN,0,0,0,0,0,0.47827909660479084
4,A,um nou we hebben weer de hoofdvorm uh die heeft een soort van um ja wat jij noemt een yoghurtbakje op z'n kop op z'n hoofd op de bovenkant en aan de rechterkant heb je twee uitstekende staafjes platte staafjes en aan de voorkant heb je ja een soort van neusje,94,um nou we hebben weer de hoofdvorm uh die hebben een soort van um ja wat jij noemen een yoghurtbak op zijn kop op zijn hoofd op de bovenkant en aan de rechterkant hebben je twee uitstekend staaf plat staaf en aan de voorkant hebben je ja een soort van neusje,ADJ ADV PRON VERB ADV DET NOUN ADV PRON VERB DET NOUN ADP NOUN INTJ PRON PRON VERB DET NOUN ADP PRON NOUN ADP PRON NOUN ADP DET NOUN CCONJ ADP DET NOUN AUX PRON NUM ADJ NOUN ADJ NOUN CCONJ ADP DET NOUN AUX PRON INTJ DET NOUN ADP NOUN,0,0,NA,NA,NA,0.33901132046158555
4,B,ja,95,ja,INTJ,0.20519567041703082,0.19518001458970666,0,0,0,0.5703132007118142
4,A,uh ook een een staafje die uitsteekt en linksonder heb je nog klein bakje die op z'n kop ligt ,96,uh ook een een staaf die uitsteekt en linksond hebben je nog klein bakje die op zijn kop liggen,ADV ADV DET DET NOUN PRON VERB CCONJ NOUN AUX PRON ADV ADJ NOUN PRON ADP PRON NOUN VERB,0,0,NA,NA,NA,0.4703212791877513
